temperature_array,latitude,longitude,altitude
[-0.16890184645286693],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.16890184645286693],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.17006802721088443],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.1716229348882411],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.17278911564625857],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.1716229348882411],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.17278911564625857],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.17278911564625857],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.1704567541302236],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.18289601554907686],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.17240038872691943],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.1681243926141886],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.1747327502429544],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.16890184645286693],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.16773566569484943],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.16890184645286693],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.16734693877551027],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.1692905733722061],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.17084548104956276],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.17706511175898937],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.17434402332361523],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.1692905733722061],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.1681243926141886],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.1669582118561711],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
[-0.17278911564625857],[-0.19864109696954887],[-0.10694783661960303],[0.1281143909315841]
